年份,年度排名,车系名称,车系ID,厂商,品牌,价格区间,车系类型,销量
2023年,1,Model Y,4363,特斯拉中国,特斯拉,26.35-31.35万,中型SUV,467496
2023年,2,轩逸,1145,东风日产,日产,6.19-14.19万,紧凑型车,354252
2023年,3,朗逸,393,上汽大众,大众,7.1-11.29万,紧凑型车,335073
2023年,4,秦PLUS DM,4802,比亚迪,比亚迪,6.78-9.48万,紧凑型车,307126
2023年,5,元PLUS,5248,比亚迪,比亚迪,10.18-13.98万,紧凑型SUV,295493
2023年,6,海豚,5008,比亚迪,比亚迪,8.38-11.78万,小型车,288207
2023年,7,速腾,414,一汽-大众,大众,7.98-13.19万,紧凑型车,278400
2023年,8,宋PLUS DM,4865,比亚迪,比亚迪,11.58-15.58万,紧凑型SUV,267890
2023年,9,海鸥,5952,比亚迪,比亚迪,6.68-8.28万,小型车,245126
2023年,10,长安CS75 PLUS,3196,长安汽车,长安,8.99-12.49万,紧凑型SUV,238049
2023年,11,AION Y,4814,广汽埃安新能源,埃安,8.68-12.28万,紧凑型SUV,230925
2023年,12,五菱宏光MINIEV,4499,上汽通用五菱,五菱汽车,3.53-5.18万,微型车,226313
2023年,13,凯美瑞,535,广汽丰田,丰田,13.88-22.68万,中型车,222279
2023年,14,AION S,3101,广汽埃安新能源,埃安,6.88-15.49万,紧凑型车,215813
2023年,15,宋Pro DM,3504,比亚迪,比亚迪,8.78-12.78万,紧凑型SUV,204861
2023年,16,哈弗H6,649,长城汽车,哈弗,7.19-12.19万,紧凑型SUV,203178
2023年,17,本田CR-V,280,东风本田,本田,13.99-20.99万,紧凑型SUV,197459
2023年,18,帕萨特,398,上汽大众,大众,13.85-28.38万,中型车,195101
2023年,19,迈腾,415,一汽-大众,大众,12.29-21.69万,中型车,190381
2023年,20,锋兰达,5369,广汽丰田,丰田,8.78-14.68万,紧凑型SUV,187520
2023年,21,RAV4荣放,546,一汽丰田,丰田,14.68-23.88万,紧凑型SUV,182441
2023年,22,奥迪A6L,99,一汽奥迪,奥迪,29.1-43.29万,中大型车,177463
2023年,23,卡罗拉,542,一汽丰田,丰田,7.58-12.48万,紧凑型车,175759
2023年,24,途观L,404,上汽大众,大众,13.78-21.78万,中型SUV,165258
2023年,25,雅阁,289,广汽本田,本田,12.88-18.78万,中型车,164483
2023年,26,五菱缤果,6266,上汽通用五菱,五菱汽车,5.18-8.48万,小型车,164453
2023年,27,思域,276,东风本田,本田,9.79-14.79万,紧凑型车,161067
2023年,28,星越L,4857,吉利汽车,吉利汽车,12.47-16.47万,紧凑型SUV,160054
2023年,29,逸动,1455,长安汽车,长安,5.29-8.49万,紧凑型车,155343
2023年,30,奔驰C级,212,北京奔驰,奔驰,21.56-26.56万,中型车,151487
2023年,31,宝马3系,145,华晨宝马,宝马,20.8-28.99万,中型车,148349
2023年,32,卡罗拉锐放,5382,一汽丰田,丰田,9.38-15.18万,紧凑型SUV,143215
2023年,33,Model 3,3762,特斯拉中国,特斯拉,23.55-33.95万,中型车,143179
2023年,34,奥迪Q5L,2916,一汽奥迪,奥迪,24.49-38.18万,中型SUV,141341
